"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee (probleme)"
"expost","FretFluvCat48Request","=K990","FretFluvCat48DistAn","=K994 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F994)),1,0)"
"expost","FretFluvCat49Request","=K1001","FretFluvCat49NbTraj","=K1005 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1005)),1,0)"
"expost","FretFluvCat49Request","=K1001","FretFluvCat49DistAn","=K1005 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1005)),1,0)"
"expost","FretFluvCat50Request","=K1012","FretFluvCat50NbTraj","=K1016 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1016)),1,0)"
"expost","FretFluvCat50Request","=K1012","FretFluvCat50DistAn","=K1016 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1016)),1,0)"
"expost","FretFluvCat51Request","=K1023","FretFluvCat51NbTraj","=K1027 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1027)),1,0)"
"expost","FretFluvCat51Request","=K1023","FretFluvCat51DistAn","=K1027 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1027)),1,0)"
"expost","FretFluvCat52Request","=K1034","FretFluvCat52NbTraj","=K1038 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1038)),1,0)"
"expost","FretFluvCat52Request","=K1034","FretFluvCat52DistAn","=K1038 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1038)),1,0)"
"expost","FretFluvCat53Request","=K1045","FretFluvCat53NbTraj","=K1049 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1049)),1,0)"
"expost","FretFluvCat53Request","=K1045","FretFluvCat53DistAn","=K1049 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1049)),1,0)"
"expost","FretFluvCat54Request","=K1056","FretFluvCat54NbTraj","=K1060 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1060)),1,0)"
"expost","FretFluvCat54Request","=K1056","FretFluvCat54DistAn","=K1060 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1060)),1,0)"
"expost","FretFluvCat55Request","=K1067","FretFluvCat55NbTraj","=K1071 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1071)),1,0)"
"expost","FretFluvCat55Request","=K1067","FretFluvCat55DistAn","=K1071 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1071)),1,0)"
"expost","FretFluvCat56Request","=K1078","FretFluvCat56NbTraj","=K1082 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1082)),1,0)"
"expost","FretFluvCat56Request","=K1078","FretFluvCat56DistAn","=K1082 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1082)),1,0)"
"expost","FretFerrMot","=IF(OR(ISNUMBER(SEARCH(""C4"",$F$18)),
       ISNUMBER(SEARCH(""C4"",$F$17))),
1,0)","FretFerrVolumeElec","=K1089 *
IF(ISNUMBER(SEARCH(""Electrique"",$F$1089)),1,0)"
"expost","FretFerrMot","=IF(OR(ISNUMBER(SEARCH(""C4"",$F$18)),
       ISNUMBER(SEARCH(""C4"",$F$17))),
1,0)","FretFerrVolumeDies","=K1089 *
IF(ISNUMBER(SEARCH(""Diesel"",$F$1089)),1,0)"
"expost","Cyclolog","=IF(OR(ISNUMBER(SEARCH(""C4"",$F$18)),
       ISNUMBER(SEARCH(""C4"",$F$17))),
1,0)","CyclologVolume","=K1092 *
IF($F$1092=""Oui"",1,0)"
