"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee","imbrique_ok","condition_resolue"
"expost","FretFluvCat48Request","=K990","FretFluvCat48DistAn","=K994 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F994)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat48Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat49Request","=K1001","FretFluvCat49NbTraj","=K1005 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1005)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat49Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat49Request","=K1001","FretFluvCat49DistAn","=K1005 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1005)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat49Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat50Request","=K1012","FretFluvCat50NbTraj","=K1016 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1016)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat50Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat50Request","=K1012","FretFluvCat50DistAn","=K1016 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1016)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat50Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat51Request","=K1023","FretFluvCat51NbTraj","=K1027 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1027)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat51Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat51Request","=K1023","FretFluvCat51DistAn","=K1027 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1027)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat51Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat52Request","=K1034","FretFluvCat52NbTraj","=K1038 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1038)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat52Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat52Request","=K1034","FretFluvCat52DistAn","=K1038 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1038)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat52Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat53Request","=K1045","FretFluvCat53NbTraj","=K1049 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1049)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat53Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat53Request","=K1045","FretFluvCat53DistAn","=K1049 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1049)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat53Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
